Tue, 02 Jan 2018 19:25:03 _internal.py[line:87] INFO  * Running on https://0.0.0.0:2018/ (Press CTRL+C to quit)
Wed, 03 Jan 2018 01:01:46 _internal.py[line:87] INFO 140.205.205.23 - - [03/Jan/2018 01:01:46] "HEAD / HTTP/1.1" 404 -
Wed, 03 Jan 2018 09:50:10 logUtiles.py[line:26] INFO [u'ziru', u'\u660c\u5e73', u'price', 1, 1]
Wed, 03 Jan 2018 09:50:49 logUtiles.py[line:32] ERROR No servers found yet
Wed, 03 Jan 2018 10:16:13 logUtiles.py[line:32] ERROR No servers found yet
Wed, 03 Jan 2018 10:47:36 logUtiles.py[line:32] ERROR No servers found yet
Wed, 03 Jan 2018 11:31:54 logUtiles.py[line:32] ERROR 127.0.0.1:29017: timed out
Wed, 03 Jan 2018 12:03:31 logUtiles.py[line:32] ERROR 127.0.0.1:29017: timed out
Wed, 03 Jan 2018 12:04:01 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:04:02 _internal.py[line:87] INFO 124.193.186.49 - - [03/Jan/2018 12:04:02] "GET /ziru/%E6%98%8C%E5%B9%B3/price/1/1 HTTP/1.1" 500 -
Wed, 03 Jan 2018 12:04:32 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:05:02 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:05:32 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:06:02 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:06:32 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:07:02 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:07:32 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:08:02 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:08:32 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:09:03 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:09:33 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 12:10:03 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
